shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
TPUJ_4A_BP05,13.759256,121.057773,279
TPUJ_4A_BP05,13.759171,121.05779,280
TPUJ_4A_BP05,13.758944,121.057834,281
TPUJ_4A_BP05,13.758521,121.057916,282
TPUJ_4A_BP05,13.758406,121.057938,283
TPUJ_4A_BP05,13.758261,121.057972,284
TPUJ_4A_BP05,13.758068,121.05802,285
TPUJ_4A_BP05,13.757807,121.058083,286
TPUJ_4A_BP05,13.757685,121.058113,287
TPUJ_4A_BP05,13.757564,121.058137,288
TPUJ_4A_BP05,13.757342,121.058181,289
TPUJ_4A_BP05,13.757239,121.058202,290
TPUJ_4A_BP05,13.757128,121.058224,291
TPUJ_4A_BP05,13.756949,121.058259,292
TPUJ_4A_BP05,13.756753,121.058305,293
TPUJ_4A_BP05,13.756631,121.058328,294
TPUJ_4A_BP05,13.756508,121.058356,295
TPUJ_4A_BP05,13.756367,121.058387,296
TPUJ_4A_BP05,13.756358,121.058311,297
TPUJ_4A_BP05,13.756341,121.058164,298
TPUJ_4A_BP05,13.756272,121.05754,299
TPUJ_4A_BP05,13.756239,121.057334,300
TPUJ_4A_BP05,13.75623,121.05728,301
TPUJ_4A_BP05,13.756203,121.056972,302
TPUJ_4A_BP05,13.756195,121.056906,303
TPUJ_4A_BP05,13.756165,121.05664,304
TPUJ_4A_BP05,13.754861,121.05678,305
TPUJ_4A_BP05,13.753994,121.056897,306
TPUJ_4A_BP05,13.753812,121.056921,307
TPUJ_4A_BP05,13.753622,121.056565,308
TPUJ_4A_BP05,13.753562,121.056458,309
TPUJ_4A_BP05,13.753426,121.056193,310
TPUJ_4A_BP05,13.753375,121.056099,311
TPUJ_4A_BP05,13.753285,121.055922,312
TPUJ_4A_BP05,13.753265,121.055891,313
TPUJ_4A_BP05,13.753253,121.055881,314
TPUJ_4A_BP05,13.752752,121.055464,315
TPUJ_4A_BP05,13.752694,121.055424,316
TPUJ_4A_BP05,13.752529,121.055295,317
TPUJ_4A_BP05,13.752007,121.055839,318
TPUJ_4A_BP05,13.751728,121.056102,319
TPUJ_4A_BP05,13.751499,121.056331,320
TPUJ_4A_BP05,13.751289,121.056518,321
TPUJ_4A_BP05,13.751134,121.056648,322
TPUJ_4A_BP05,13.750948,121.05674,323
TPUJ_4A_BP05,13.75061,121.056835,324
TPUJ_4A_BP05,13.750593,121.056782,325
TPUJ_4A_BP05,13.750492,121.056482,326
